name,phone_CostPerformance
 努比亚Z50 ,611.9 分
 一加Ace 竞速版 ,606.2 分
 拯救者Y70 ,592.4 分
 Redmi Note 11T Pro ,592.0 分
 Redmi K60 ,587.3 分
 Redmi Note12T Pro ,584.8 分
 Redmi K60 至尊版 ,565.9 分
 realme GT Neo5 SE ,557.4 分
 iQOO Z8 ,553.3 分
 荣耀X40 GT ,539.8 分
 一加Ace 2 Pro ,535.5 分
 realme GT Neo5 ,526.5 分
 realme GT5 ,526.4 分
 小米12S Pro ,518.4 分
 荣耀80 GT ,516.2 分
 一加Ace Pro ,515.7 分
 iQOO Neo8 ,513.1 分
 Redmi K60E ,506.2 分
 一加Ace 2 ,494.3 分
 一加Ace 2V ,481.8 分
 OPPO Reno9 Pro+ 5G ,473.6 分
 荣耀X40 GT竞速版 ,473.3 分
 iQOO Neo8 Pro ,466.6 分
 Redmi K60 Pro ,465.2 分
 OPPO K10 5G ,463.4 分
 iQOO Neo7 SE ,445.2 分
 OPPO Reno10 Pro+ 5G ,436.6 分
 iQOO 11S ,424.3 分
 Redmi Note 13 Pro ,424.2 分
 iQOO Z7 ,416.5 分
 荣耀80 Pro ,406.1 分
 vivo X90 ,392.0 分
 Redmi Note 11T Pro+ ,390.8 分
 Redmi Note 13 Pro+ ,389.4 分
 小米13 ,384.2 分
 iQOO Neo7 ,379.1 分
 vivo X90s ,376.8 分
 红魔8S Pro ,369.3 分
 三星Galaxy S23 ,357.2 分
 一加手机11 ,356.6 分
 努比亚Z50 Ultra ,356.5 分
 荣耀80 ,354.7 分
 小米Civi 3 ,353.8 分
 荣耀70 ,342.2 分
 荣耀Magic5 ,333.7 分
 荣耀90 Pro ,329.6 分
 小米13 Pro ,327.2 分
 OPPO Find X6 ,325.7 分
 vivo S17e ,320.9 分
 华为nova 10 ,303.9 分
 vivo S17 Pro ,300.9 分
 iQOO 11 Pro ,291.2 分
 OPPO Reno10 Pro 5G ,281.2 分
 荣耀Magic5 Pro ,276.5 分
 荣耀90 ,272.0 分
 OPPO Find X6 Pro ,262.1 分
 小米13 Ultra ,254.7 分
 vivo X90 Pro+ ,246.4 分
 华为Mate 50 ,245.8 分
 华为P60 ,244.1 分
 vivo S17 ,242.4 分
 华为nova 11 ,220.4 分
 荣耀Magic5 至臻版 ,213.3 分
 华为P60 Pro ,209.4 分
 华为Mate 50 Pro ,199.9 分
 三星Galaxy S23 Ultra ,186.2 分
 小米MIX Fold 3 ,169.6 分
 华为P60 Art ,158.1 分
 三星Galaxy S22 Ultra 5G (8 Gen1) ,156.2 分
 荣耀Magic V2 ,146.0 分
 三星Galaxy Z Fold5 ,112.2 分
